championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Vladimir,"['Fiddlesticks', '56.8%', 'Jungle']","['Rammus', '56.0%', 'Jungle']","['Shaco', '54.7%', 'Jungle']","['Sejuani', '54.4%', 'Jungle']","['Master Yi', '53.9%', 'Jungle']","['Taliyah', '53.9%', 'Jungle']"
Kog'Maw,"['Braum', '57.6%', 'Support']","['Renata Glasc', '56.2%', 'Support']","['Senna', '55.8%', 'Support']","['Rakan', '55.1%', 'Support']","['Bard', '54.9%', 'Support']","['Leona', '53.9%', 'Support']"
Sett,"['Trundle', '56.8%', 'Jungle']","['Rammus', '56.7%', 'Jungle']","['Amumu', '56.7%', 'Jungle']","['Kindred', '55.1%', 'Jungle']","['Ivern', '53.0%', 'Jungle']","['Evelynn', '52.7%', 'Jungle']"
Sona,"['Nilah', '58.6%', 'Bot']","['Draven', '58.3%', 'Bot']","['Seraphine', '57.3%', 'Bot']","['Kalista', '55.3%', 'Bot']","['Ashe', '55.3%', 'Bot']","['Vayne', '55.3%', 'Bot']"
Kayn,"['Kayle', '61.6%', 'Mid']","['Garen', '57.8%', 'Mid']","['Brand', '57.6%', 'Mid']","['Annie', '55.9%', 'Mid']","['Akshan', '55.1%', 'Top']","['Swain', '55.0%', 'Top']"
Sion,"['Briar', '52.4%', 'Jungle']","['Evelynn', '51.9%', 'Jungle']","['Udyr', '51.1%', 'Jungle']","[""Kha'Zix"", '50.9%', 'Jungle']","['Master Yi', '50.4%', 'Jungle']","['Rengar', '50.3%', 'Jungle']"
Senna,"['Sett', '61.2%', 'Bot']","['Brand', '59.9%', 'Bot']","['Heimerdinger', '58.4%', 'Bot']","['Swain', '57.9%', 'Bot']","['Lux', '57.0%', 'Bot']","['Karthus', '56.6%', 'Bot']"
Fiddlesticks,"['Singed', '59.5%', 'Top']","['Warwick', '58.9%', 'Top']","['Akshan', '58.7%', 'Mid']","['Kled', '58.6%', 'Top']","['Vladimir', '57.4%', 'Mid']","['Urgot', '57.3%', 'Top']"
Galio,"['Nidalee', '57.1%', 'Jungle']","[""Rek'Sai"", '56.4%', 'Jungle']","['Ivern', '55.8%', 'Jungle']","['Kindred', '55.4%', 'Jungle']","['Hecarim', '55.1%', 'Jungle']","[""Kha'Zix"", '54.8%', 'Jungle']"
Yasuo,"['Evelynn', '54.3%', 'Jungle']","['Fiddlesticks', '53.1%', 'Jungle']","['Ivern', '52.9%', 'Jungle']","[""Rek'Sai"", '52.9%', 'Jungle']","['Rumble', '52.7%', 'Jungle']","['Sylas', '52.3%', 'Jungle']"
Elise,"['Akshan', '56.5%', 'Mid']","['Riven', '54.9%', 'Top']","['Irelia', '54.9%', 'Mid']","['Volibear', '54.6%', 'Top']","['Fiora', '54.1%', 'Top']","['Gnar', '53.4%', 'Top']"
Teemo,"['Xin Zhao', '53.4%', 'Jungle']","['Kayn', '52.8%', 'Jungle']","['Vi', '52.8%', 'Jungle']","['Graves', '52.7%', 'Jungle']","[""Kha'Zix"", '52.3%', 'Jungle']","['Warwick', '52.1%', 'Jungle']"
Sejuani,"['Quinn', '59.4%', 'Top']","['Xerath', '55.3%', 'Mid']","['Fizz', '54.7%', 'Mid']","['Akshan', '53.6%', 'Mid']","['Diana', '53.6%', 'Mid']","['Vladimir', '53.6%', 'Mid']"
Naafiri,"['Gragas', '58.2%', 'Jungle']","['Shaco', '57.4%', 'Jungle']","['Fiddlesticks', '57.0%', 'Jungle']","['Evelynn', '55.7%', 'Jungle']","['Lillia', '55.3%', 'Jungle']","['Maokai', '54.9%', 'Jungle']"
Renata Glasc,"['Nilah', '57.8%', 'Bot']","['Twitch', '55.0%', 'Bot']","['Jinx', '53.7%', 'Bot']","['Tristana', '53.5%', 'Bot']","[""Kog'Maw"", '53.3%', 'Bot']","['Vayne', '53.0%', 'Bot']"
Morgana,"[""Kog'Maw"", '53.7%', 'Bot']","['Miss Fortune', '53.0%', 'Bot']","['Draven', '52.1%', 'Bot']","['Ziggs', '51.7%', 'Bot']","['Varus', '51.7%', 'Bot']","['Nilah', '51.7%', 'Bot']"
