championName,worstAgainst1,worstAgainst2,worstAgainst3,worstAgainst4,worstAgainst5,worstAgainst6
Varus,"['Seraphine', '43.0%']","['Yasuo', '45.9%']","['Twitch', '48.3%']","['Nilah', '48.4%']","['Ezreal', '48.5%']","['Jinx', '48.6%']"
Nilah,"['Seraphine', '45.8%']","['Swain', '45.9%']","['Sivir', '47.3%']","['Vayne', '47.7%']","['Miss Fortune', '47.7%']","[""Kog'Maw"", '47.9%']"
Zac,"['Udyr', '45.5%']","['Trundle', '46.6%']","['Ivern', '46.7%']","['Taliyah', '46.8%']","['Talon', '47.2%']","['Rengar', '47.7%']"
Milio,"['Blitzcrank', '45.8%']","['Braum', '47.5%']","['Maokai', '47.7%']","['Senna', '48.0%']","['Rakan', '48.0%']","[""Vel'Koz"", '48.5%']"
Zed,"['Akshan', '44.4%']","['Sylas', '44.9%']","['Anivia', '45.1%']","['Malphite', '45.8%']","['Qiyana', '45.9%']","['Ziggs', '46.3%']"
Annie,"['Qiyana', '42.8%']","['Galio', '45.2%']","['Talon', '45.2%']","['Tristana', '45.6%']","['Swain', '46.2%']","['Sylas', '47.2%']"
Neeko,"['Sona', '40.9%']","[""Vel'Koz"", '43.0%']","['Shaco', '43.3%']","['Seraphine', '46.6%']","['Leona', '46.9%']","['Zilean', '47.2%']"
Ashe,"['Seraphine', '45.7%']","['Ziggs', '49.0%']","['Nilah', '49.2%']","['Twitch', '49.5%']","['Tristana', '49.6%']","['Kalista', '50.0%']"
Braum,"['Neeko', '44.3%']","['Janna', '46.0%']","['Sona', '46.7%']","['Morgana', '46.7%']","['Rakan', '47.7%']","['Zilean', '47.8%']"
Anivia,"['Swain', '45.7%']","['Talon', '46.9%']","[""Vel'Koz"", '47.3%']","['Xerath', '47.6%']","['Aurelion Sol', '47.6%']","['Katarina', '47.9%']"
Volibear,"['Quinn', '43.3%']","['Kayle', '44.2%']","['Olaf', '45.0%']","['Kled', '45.7%']","['Kennen', '46.0%']","['Rengar', '46.2%']"
Karthus,"['Evelynn', '44.7%']","['Ivern', '45.8%']","[""Bel'Veth"", '45.9%']","['Talon', '46.6%']","['Nunu & Willump', '47.3%']","['Nidalee', '47.5%']"
Hecarim,"[""Rek'Sai"", '45.0%']","['Evelynn', '45.9%']","['Gragas', '46.7%']","['Kindred', '46.8%']","['Ivern', '46.9%']","['Master Yi', '47.7%']"
Rammus,"['Shaco', '46.4%']","['Karthus', '48.2%']","['Lillia', '48.3%']","['Trundle', '48.9%']","['Evelynn', '49.8%']","['Talon', '49.9%']"
Orianna,"['Aurelion Sol', '47.0%']","['Talon', '47.4%']","['Swain', '47.4%']","['Anivia', '47.9%']","['Xerath', '47.9%']","['Qiyana', '48.3%']"
Talon,"['Swain', '44.2%']","['Akshan', '45.4%']","['Taliyah', '46.6%']","['Neeko', '46.7%']","['Malphite', '47.7%']","['Lissandra', '48.8%']"
Pantheon,"['Yorick', '42.5%']","['Malphite', '43.3%']","['Singed', '44.9%']","['Kayle', '45.0%']","['Vladimir', '45.2%']","['Olaf', '45.5%']"
Urgot,"['Kayle', '45.6%']","['Gragas', '45.6%']","['Ornn', '45.7%']","['Quinn', '45.9%']","['Malphite', '46.0%']","['Kled', '46.3%']"
Kha'Zix,"['Nidalee', '47.8%']","['Shaco', '47.9%']","['Rengar', '48.0%']","[""Bel'Veth"", '48.0%']","['Fiddlesticks', '48.0%']","['Rammus', '48.3%']"
Caitlyn,"['Seraphine', '46.5%']","['Yasuo', '47.7%']","['Vayne', '48.1%']","['Jhin', '48.2%']","['Twitch', '48.3%']","['Ashe', '48.4%']"
Tristana,"[""Kog'Maw"", '44.4%']","['Nilah', '48.0%']","['Vayne', '48.3%']","['Draven', '49.0%']","['Jinx', '49.0%']","['Lucian', '49.5%']"
LeBlanc,"['Naafiri', '41.6%']","['Akshan', '43.9%']","['Malzahar', '45.0%']","['Vex', '45.0%']","['Kassadin', '45.3%']","['Anivia', '45.4%']"
Garen,"['Camille', '44.1%']","['Kayle', '45.2%']","['Vayne', '45.8%']","['Tryndamere', '46.2%']","['Olaf', '46.8%']","['Singed', '47.6%']"
Pyke,"['Maokai', '46.4%']","['Rakan', '46.8%']","['Sylas', '47.2%']","['Taric', '47.2%']","['Blitzcrank', '47.7%']","['Alistar', '47.9%']"
Udyr,"['Ivern', '42.2%']","['Sylas', '45.9%']","['Vi', '46.4%']","['Talon', '46.9%']","['Gragas', '46.9%']","['Master Yi', '46.9%']"
Malzahar,"['Naafiri', '45.5%']","['Fizz', '45.8%']","['Anivia', '46.1%']","['Akshan', '46.6%']","['Swain', '46.7%']","['Brand', '47.1%']"
Kennen,"['Vladimir', '41.5%']","['Nasus', '42.2%']","['Ornn', '42.9%']","['Kled', '43.0%']","['Dr. Mundo', '43.4%']","['Olaf', '44.2%']"
Rek'Sai,"['Trundle', '34.7%']","['Shyvana', '44.3%']","['Karthus', '45.3%']","['Amumu', '46.4%']","['Fiddlesticks', '47.1%']","['Nunu & Willump', '47.9%']"
Heimerdinger,"['Sona', '43.2%']","['Xerath', '44.4%']","['Janna', '44.6%']","['Maokai', '44.8%']","['Rell', '45.9%']","['Taric', '46.2%']"
Bard,"['Renata Glasc', '48.1%']","['Morgana', '48.5%']","['Janna', '48.6%']","['Milio', '48.7%']","['Brand', '48.9%']","['Blitzcrank', '49.1%']"
Gangplank,"['Kayle', '43.7%']","['Quinn', '44.4%']","['Tryndamere', '45.1%']","['Vladimir', '45.8%']","['Ornn', '45.8%']","['Rengar', '45.9%']"
Nunu & Willump,"['Brand', '45.0%']","['Ivern', '45.8%']","['Master Yi', '47.7%']","['Elise', '47.9%']","['Kayn', '48.1%']","[""Kha'Zix"", '48.1%']"
Zeri,"['Seraphine', '38.2%']","[""Kog'Maw"", '39.2%']","['Vayne', '43.5%']","['Draven', '44.3%']","['Lucian', '45.2%']","['Twitch', '45.7%']"
Yorick,"['Warwick', '39.0%']","['Zac', '39.6%']","['Tryndamere', '41.5%']","['Urgot', '41.6%']","['Irelia', '41.9%']","['Camille', '42.7%']"
Jax,"['Illaoi', '45.6%']","['Singed', '46.1%']","['Dr. Mundo', '46.4%']","['Rengar', '46.6%']","['Zac', '46.7%']","['Garen', '46.7%']"
Hwei,"['Fizz', '32.6%']","['Talon', '32.7%']","[""Vel'Koz"", '33.0%']","['Ekko', '33.2%']","['Kassadin', '33.4%']","['Twisted Fate', '33.6%']"
Lillia,"['Talon', '43.4%']","['Ivern', '44.5%']","[""Rek'Sai"", '45.0%']","['Kindred', '45.0%']","['Evelynn', '46.0%']","['Briar', '46.2%']"
Jinx,"['Seraphine', '45.5%']","['Twitch', '47.5%']","['Ziggs', '48.0%']","[""Kog'Maw"", '49.0%']","['Vayne', '49.3%']","['Ezreal', '49.6%']"
Briar,"['Trundle', '48.3%']","['Talon', '48.3%']","['Nocturne', '48.7%']","['Taliyah', '48.8%']","['Rammus', '48.9%']","['Xin Zhao', '48.9%']"
Leona,"['Taric', '44.1%']","['Bard', '47.6%']","['Shaco', '47.7%']","['Janna', '47.9%']","[""Vel'Koz"", '48.0%']","['Soraka', '48.4%']"
Alistar,"['Morgana', '45.0%']","['Soraka', '45.7%']","['Zilean', '46.0%']","['Senna', '46.3%']","['Janna', '46.4%']","['Xerath', '47.3%']"
